case_id,dice,iou,precision,recall,hd95,asd,cldice,centerline_recall
851,0.8261700747618532,0.703824342009546,0.8312495706532226,0.8211522801302236,1.6625029370274809,0.8114534856565397,0.8952254641851222,0.8905013192553398
852,0.7355479741649267,0.5817128361822616,0.7139693187285447,0.7584716459197216,34.98559169943277,4.384263755709734,0.7684761010475968,0.8612531969254397
853,0.839735412858459,0.7237447580187325,0.8682457237646006,0.8130379424496037,3.526230797635821,1.5607891419496764,0.8789449616707674,0.8971367974454174
854,0.696549189446882,0.534388550613047,0.6774121874878591,0.7167988714886621,25.745729239527115,3.8936667735535133,0.7859167838634941,0.835937499994063
855,0.7012060620486907,0.539890156212739,0.7181293677880125,0.6850620155038228,42.64272280701743,5.649370805308762,0.7581910148256391,0.821696480087584
856,0.775787107302166,0.6337027750071651,0.755375059722802,0.7973329580239028,33.0799686716893,3.8296040125910187,0.8351163995430501,0.9723953695372005
857,0.7603496434556616,0.6133581452557476,0.7265060316622566,0.7975004653021847,25.212884727908236,3.438243386064089,0.8384480305479743,0.9441023211703264
858,0.7046430371824995,0.5439759521189025,0.7813013980262155,0.6416834640184217,28.947420005934898,3.9461083578748357,0.8022686710912967,0.8255999999933953
859,0.7874390559391539,0.6494016319724383,0.7833082587694368,0.791613651822447,23.861702943412713,2.8228010442308418,0.871075084863676,0.9607329842869062
860,0.7547374763444098,0.6060870394852998,0.8420374928989924,0.6838390207144199,12.519242349569623,2.587969799040113,0.8213094725441609,0.7942411517648816
861,0.6688931539742233,0.5025089878932756,0.7544823376820107,0.6007441719188092,32.3367247192768,4.368773340553787,0.7926254275873312,0.81168057209998
862,0.7321113451357362,0.5774255825438501,0.80744600703157,0.6696344892220683,10.649905453210444,1.7284294023478703,0.801001948228216,0.7867687260755235
863,0.630611023922422,0.46050540419035535,0.5587232081124254,0.7237292520796955,56.28395423334475,8.970731528063233,0.7161437279898888,0.8570446735336287
864,0.8063534769488745,0.6755379095711883,0.7627141397927469,0.8552895975284325,9.405629061512036,1.3300843508476732,0.8585496837807984,0.9566929133804462
865,0.7181435020906859,0.5602370493592425,0.6569071662229863,0.7919703112177064,44.33487376711131,5.33244025572715,0.7659111351127447,0.9020852221133084
866,0.7964722078815696,0.6617813174713912,0.8685282140778708,0.7354562934006503,3.2983187004896903,1.3710175017967787,0.8800778131510709,0.8393719806712598
867,0.691686611493971,0.5286857243613567,0.7075985152043703,0.6764745973029439,39.22531479076453,4.794224287352686,0.763272582208891,0.8570743405234673
868,0.6722016999604892,0.5062528698376001,0.5589336037096398,0.8430450916449246,57.92260850731169,8.443913217093138,0.7154344822611356,0.9288079470044899
869,0.666818653154553,0.5001710042916284,0.8154690169978581,0.5640068672090416,8.030389524444418,2.236767373730312,0.8084084042989444,0.735884274378274
870,0.633231564637943,0.46330566923737887,0.5836260192658632,0.6920528994860211,52.207708447360645,6.642046885145689,0.6676250746215311,0.8228105906229857
871,0.7219895961108524,0.5649324871798748,0.6698908298350731,0.7828754012870741,53.135432876626304,6.310691171234054,0.7398367340897533,0.8344198174652255
872,0.7599388978104552,0.6128237523688552,0.7060236287328417,0.8227694221416908,24.514490909389146,3.818440986125343,0.7802181071025163,0.9699570815346571
873,0.8482042765206208,0.7364190187808127,0.8728178485673745,0.8249408420218844,9.258653705971126,1.9871588954565944,0.8854487124662915,0.9567847882371929
874,0.7142892824137226,0.5555598725619166,0.6911068148863351,0.7390809944693313,30.975840598854845,4.634494244488542,0.754772294553577,0.8930753564063841
875,0.7714627278422848,0.627952236636128,0.7821366510418376,0.7610762191655706,5.810964760936588,2.0247915845430335,0.8430517711125719,0.8476712328720676
876,0.7159451008373006,0.5575658029139959,0.7863432061771596,0.6571161661882758,14.337831813770109,2.1428958377105367,0.798030249994596,0.8101083032432483
877,0.6700442363769546,0.503809415849765,0.5860422507841805,0.782156850031883,49.0723955297403,7.750094188969775,0.7138993829195902,0.9084604715609678
878,0.7586051522363049,0.611090946287469,0.7943825815417194,0.725911524682252,6.081797585675072,1.2401633891716333,0.8163763656031687,0.7979933110314517
879,0.8433623341823677,0.7291499828394324,0.861658056105368,0.8258274100399058,1.130859375,1.4647451563739782,0.9316232101914094,0.9632408101953246
880,0.7412602239273955,0.5888907604399398,0.7764850597097747,0.7090926110832644,11.168944090809354,2.1812077973369077,0.8373579950814418,0.863636363626789
881,0.6998160103745477,0.5382438300721928,0.6765209048036536,0.724772599445247,52.339241102350705,5.457564080305821,0.7943334095352976,0.8567621585552515
882,0.8058384103678856,0.6748152154317243,0.9114787097611312,0.7221421956990995,5.100551440775791,1.4764733515812385,0.8739616635072358,0.8168574401622433
883,0.7149959350594607,0.5564153099333157,0.738415819415958,0.6930159700465449,40.04342779275371,3.230001771833762,0.8222025981762631,0.8675241157500482
884,0.8310029100716281,0.7108682452943885,0.8271632849148213,0.8348783479276598,1.879845017883061,0.9794766218470237,0.8930716686451874,0.9171974522195626
885,0.7278378163387806,0.5721265933594251,0.7186181671303385,0.7372971106249872,44.3995042088449,5.288719728150077,0.8020059828998842,0.9223706176884611
886,0.6877764872395169,0.5241305925029975,0.6404226775487633,0.7426922628797287,34.40996249261475,4.597149904047142,0.7396025544412514,0.9263157894682672
887,0.704379748560496,0.543662194055621,0.8080218867555027,0.6243026354528718,15.878162895099022,3.9706894236050356,0.7368602740462483,0.7558320373191616
888,0.79003340434167,0.6529381944728989,0.7970030437835239,0.7831846045126817,10.396297244668768,2.143403681065609,0.8428975430174211,0.9127182044773975
889,0.7480829194470302,0.5975498945318354,0.800656578832855,0.7019881435732542,8.469362581626937,2.0567443212833587,0.8299051898044693,0.8118886380676307
890,0.8237526607885931,0.7003226560672714,0.7883394569782404,0.8624971204790529,7.185761614673155,2.549888300093424,0.9166609317933022,0.9424083769551274
891,0.6864115575697248,0.5225468917036086,0.5714412236185517,0.8592965493359891,53.228158637959865,10.151149394774654,0.7060740840773304,0.9400196656741394
892,0.679063503204887,0.5140773268453456,0.7012686918638362,0.6582213780002999,18.724721084586292,3.3397819576907724,0.6940087660971893,0.7334547662371983
