model,case_id,dice,iou,precision,recall,hd95
V-Net,1,0.004972738735858479,0.002492566809692376,0.006924865212444972,0.0038791909116098642,338.62811460361644
V-Net,10,0.01076804055626422,0.005413164867547861,0.015020969694842684,0.008391992313876198,265.7385933582098
V-Net,100,0.0011225374335051778,0.0005615839162366039,0.00394667602175057,0.0006543217954590067,268.5330519693991
V-Net,1000,0.009901742126595229,0.004975504142783438,0.017314240177730554,0.006933431323250687,301.46475747589466
V-Net,101,0.02130996894606587,0.010769735841199583,0.056581548946194944,0.013126945862328106,290.7232360854564
V-Net,102,0.0034929437569835293,0.0017495273788595944,0.005958263914381724,0.002470668134235732,317.47283348343365
V-Net,103,0.019093910187287944,0.009638977983602044,0.051044392212514965,0.011743340169161233,248.87948890979345
V-Net,104,0.0023686998006620377,0.0011857542482567587,0.003776997552931163,0.0017253739322729978,295.5960080921256
V-Net,105,0.0051366488452072685,0.0025749376979800394,0.010715043496711225,0.0033780111541259396,211.8726032312814
V-Net,106,0.008954595325434765,0.004497434013514316,0.028071150639244025,0.005326933980300892,283.89434654462565
V-Net,107,0.005646971364851131,0.0028314803265877555,0.013409376379128899,0.0035765702954518703,312.92331328937445
V-Net,108,0.006331945933623787,0.0031760281861912074,0.015116091583360206,0.0040047416140710605,363.29739883461866
V-Net,109,0.010158288397981375,0.005105073603971721,0.023471725412965716,0.006481758954039445,322.25145461269835
V-Net,11,0.02260617146492538,0.011432306068069838,0.037411160831797845,0.016196581196581197,309.2911249939125
V-Net,110,0.020463149278672592,0.010337341924812353,0.0572737686139748,0.012456919818959432,320.1640204645113
V-Net,111,0.012330071583370631,0.006203279230165101,0.07607374392220421,0.006708711498606446,244.3460660620506
V-Net,112,0.008179036283896593,0.004106310975177767,0.027501185395922237,0.004803869599787967,249.77589955798376
V-Net,113,0.011006553520416075,0.005533730410171592,0.04697986577181208,0.006233473138964985,340.6552509502826
V-Net,114,0.0029900953092877763,0.0014972861688189116,0.003960105602816075,0.0024017879977316445,365.589934215919
V-Net,115,0.009747864425461,0.004897803776327576,0.013484752223634053,0.007632695627157652,239.0
V-Net,116,0.0036364148895683067,0.0018215193448177193,0.014615907545887152,0.002076525602433881,241.20945255109717
V-Net,117,0.003988773764441091,0.001998372409940723,0.01565801388469665,0.0022854939971362486,284.43804246267763
V-Net,118,0.007189188675840376,0.003607562060075029,0.012653995954733129,0.005020859449098301,282.56149773102493
V-Net,119,0.013135448652336285,0.006611144500729396,0.037782139352306184,0.007949618005368574,321.82914721945247
V-Net,12,0.0021574091477414904,0.00107986943396835,0.006192531431788328,0.001306245237647571,230.54283766797008
V-Net,120,0.015115570350225973,0.00761534028099211,0.028693485226059096,0.01026032715931513,339.6262651798297
V-Net,121,0.005605360696743997,0.002810557442484019,0.009699842022116904,0.003941557107641742,332.1129325997408
V-Net,122,0.014053385814463045,0.00707641671436698,0.023454360044584628,0.010032257410074862,279.6730233683614
V-Net,123,0.007567858243653061,0.0037983016259624906,0.009562479284057011,0.0062617339685502515,331.2174512310606
V-Net,124,0.0007910254566373516,0.0003956692205316,0.0035307334296260633,0.00044540724394144917,295.8462438497403
V-Net,125,0.006736126064942508,0.003379445216976816,0.019955509029049988,0.004051944601282009,286.6408903139955
V-Net,126,0.010159508232363659,0.00510568976478042,0.018157090626490277,0.007052931288806559,298.6452745315084
V-Net,127,0.007114675635469125,0.003570037647669353,0.015685156138599745,0.004600777949726045,310.30791159749697
V-Net,128,0.01709139867299663,0.008619357776530251,0.03510398728308385,0.011295461568790426,326.84246970061895
V-Net,129,0.00995175862875578,0.005000762505083049,0.033068616328417164,0.005857223661099699,238.6880809759884
V-Net,13,0.0010771509357748094,0.0005388656877273009,0.002770344719030379,0.0006685456852213418,345.950863563021
V-Net,130,0.021293222843788734,0.010761181540193267,0.047538434962860594,0.013719117031246885,311.3679495388053
V-Net,131,0.005264193643608739,0.0026390430385988704,0.02397132402359794,0.0029567540183300326,304.149634226313
V-Net,132,0.008071733734104927,0.0040522210918952145,0.0366705024932873,0.004534975285333435,246.5299170486211
V-Net,133,0.0056616373833539785,0.0028388549754043237,0.01587880395146854,0.003444977453018131,260.0038461253987
V-Net,134,0.0020128087831654154,0.001007418261745489,0.004590601786161422,0.001288992008249549,296.89392044971214
V-Net,135,0.015179170484303901,0.007647627563444947,0.06773985833869929,0.008547216873441068,289.94137338434473
V-Net,136,0.013308496435411928,0.006698823854399831,0.026692350027517887,0.008863989427882553,236.44872594285638
V-Net,137,0.009020442991229876,0.004530655756597576,0.010490676807098302,0.00791165113266166,331.00151057057127
V-Net,138,0.012862959345094453,0.006473111356655692,0.0455296493482651,0.007489430239581236,222.46348014898985
SegResNet,1,0.7528517246246338,0.6036585569381714,0.8231707215309143,0.693601131439209,10.29563045501709
SegResNet,10,0.8384159207344055,0.7217866778373718,0.8650804162025452,0.8133460283279419,7.088657855987549
SegResNet,11,0.8227822780609131,0.6989210844039917,0.8683632016181946,0.7817478775978088,6.032834529876709
SegResNet,12,0.7676451802253723,0.6229092478752136,0.7649177312850952,0.7703921794891357,18.6279354095459
SegResNet,13,0.7151461839675903,0.5565973520278931,0.769774854183197,0.6677574515342712,13.93913745880127
