model,dice_mean,dice_std,iou_mean,iou_std,precision_mean,precision_std,recall_mean,recall_std,hd95_mean,hd95_std,num_cases
V-Net,0.00921394872849703,0.005864444193248041,0.004636837258700828,0.0029651084263384543,0.0239938292810188,0.01842018657350752,0.005999807393863357,0.003825833645397379,291.8895608603197,39.347170319489074,45
SegResNet,0.779368257522583,0.050834131004736015,0.6407745838165283,0.0684224943628527,0.8182613849639893,0.049806637004184307,0.7453689336776733,0.06179385749787995,11.196839141845704,5.1744001103058475,5
