dice,iou,precision,recall,specificity,hd95,asd,cldice,case_id,split_category,inference_time_sec
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,124,Primary_Train,5.75
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,125,Primary_Train,6.45
0.0,0.0,0.0,0.0,0.999999926198762,207.27186093689292,124.65637484150224,0.0,126,Primary_Train,22.48
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,127,Primary_Train,7.0
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,128,Primary_Train,6.21
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,130,Primary_Train,6.93
0.0,0.0,0.0,0.0,0.999999944432248,125.36603536151897,63.50888542647596,0.0,132,Primary_Val,22.2
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,133,Primary_Train,6.74
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,135,Primary_Train,6.07
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,136,Primary_Train,5.14
0.0,0.0,0.0,0.0,0.999999819420016,217.93113955205277,122.87664171042881,0.0,138,Primary_Train,23.47
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,139,Primary_Val,6.66
0.0,0.0,0.0,0.0,0.9999987206773513,150.6308242241654,75.45021770846887,0.0,140,Primary_Val,23.66
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,143,Primary_Train,6.21
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,145,Primary_Train,5.1
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,147,Primary_Train,6.6
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,148,Primary_Val,4.95
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,149,Primary_Train,6.36
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,150,Primary_Train,6.87
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,151,Primary_Train,5.7
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,152,Primary_Val,6.42
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,153,Primary_Val,6.65
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,154,Primary_Train,4.53
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,157,Primary_Train,5.91
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,159,Primary_Train,6.23
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,161,Primary_Train,5.29
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,162,Primary_Train,4.57
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,164,Primary_Train,5.04
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,167,Primary_Train,5.98
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,168,Primary_Train,5.65
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,169,Primary_Train,5.8
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,172,Primary_Val,7.19
0.0,0.0,0.0,0.0,0.9999996389267314,115.0241073053082,64.63649528498371,0.0,173,Primary_Train,22.44
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,174,Primary_Train,7.04
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,175,Primary_Train,4.76
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,179,Primary_Train,6.34
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,180,Primary_Train,6.85
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,181,Primary_Train,6.72
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,182,Primary_Train,6.33
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,183,Primary_Train,6.73
0.0,0.0,0.0,0.0,0.9999999583116722,137.49288268655664,80.17540626532258,0.0,187,Primary_Train,22.21
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,188,Primary_Train,6.32
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,190,Primary_Train,5.68
0.0,0.0,0.0,0.0,0.9999999722191115,171.2688075075226,106.61829561720697,0.0,191,Primary_Train,22.86
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,193,Primary_Val,6.01
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,194,Primary_Train,5.62
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,195,Primary_Train,4.29
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,196,Primary_Train,5.54
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,197,Primary_Train,4.76
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,198,Primary_Train,6.97
0.0,0.0,0.0,0.0,1.0,15.0,2.5,0.0,200,Primary_Train,5.73
