dice,iou,precision,recall,specificity,hd95,asd,cldice,case_id,split_category,inference_time_sec
0.82648728684755,0.7042849025702731,0.8808050829745433,0.7784797266094025,0.999841542244357,31.747310073924872,1.099168984269531,0.8891656543177109,1,Primary_Train,32.31
0.8027442423092431,0.6704868505769898,0.8971252866098528,0.7263313768201475,0.9998921890643793,36.04748455271359,1.1906665993209853,0.887052954559013,2,Primary_Train,29.0
0.6810726778080062,0.5163837812352664,0.7567997097869179,0.6191219801728342,0.9996086483312125,29.32397373026466,2.063653576269758,0.7470261405394089,8,Primary_Train,27.46
0.7478687612253674,0.5972766576427331,0.8858498933288588,0.6470789084318995,0.9998676769732605,20.440277190895063,0.9221982307075365,0.8724094802336813,9,Primary_Train,30.44
0.8254519728501082,0.7027826481077277,0.8120116312721359,0.8393447293447294,0.999810592701411,13.507985473019529,0.4242304447348399,0.9362265908952415,11,Primary_Train,28.25
0.788204197177969,0.6504430823595844,0.8908986577516091,0.7067380483508654,0.9998785084521847,24.43382301863358,0.8097355751600531,0.897069021806689,12,Primary_Train,28.81
0.8081409845112517,0.6780508214554685,0.852940350877193,0.7678128099356282,0.9997086664677454,27.685994677815874,1.085633933436947,0.8798038377933964,14,Primary_Val,27.61
0.8363115835808641,0.7186731188356544,0.9121819937922563,0.772093023255814,0.999826173868377,48.33529417510961,1.5664745897941408,0.8786551132823996,15,Primary_Train,21.75
0.7667229402485263,0.6216956150980656,0.8845042542662388,0.6766232338897776,0.9998995246495198,20.795216758645786,1.3875806375553714,0.8414135894032841,17,Primary_Train,31.91
0.7712702307018658,0.6276971958955833,0.7996285052882549,0.7448544792500581,0.9997319386254243,25.346818053856826,1.1426454259168048,0.8453644258567514,18,Primary_Train,20.21
0.7500819591191863,0.6001049145515219,0.7355296997490162,0.7652216661428237,0.9995255922360705,29.519762370179162,1.5812129450000727,0.8283867766058692,19,Primary_Train,27.29
0.8099134907645545,0.6805500982318271,0.9169959224958119,0.725225140771572,0.9998539683022518,35.57035282366482,0.8217723127071043,0.9402568853871234,20,Primary_Train,31.3
0.7788413637505198,0.6377888512032798,0.8820194334097987,0.6972746238509115,0.9998241653144013,26.75344320223191,1.130759444201904,0.8482424581661258,22,Primary_Train,31.48
0.7810123929832964,0.6407057696794077,0.8499710872026258,0.7224033502924584,0.9997439576699662,30.410265634838595,1.2519807974250297,0.8550705550535178,24,Primary_Train,31.33
0.8229958836252006,0.6992294013040901,0.868730865132721,0.7818355694848172,0.9998054107174325,18.46873843326626,0.6560637014283655,0.9261594581594428,25,Primary_Train,30.78
0.8417838785095589,0.7267934394025841,0.8225697027161786,0.8619171605741889,0.9995971599320537,23.108587018159074,0.5842899215912503,0.9273716053442662,29,Primary_Train,22.23
0.752157909118673,0.6027669002473207,0.882314676018893,0.6554653630384996,0.999826496846233,18.34389972788127,0.958381121622194,0.8908523733872971,30,Primary_Train,31.42
0.6773214840297188,0.5120832279738468,0.720453332655706,0.6390623239039783,0.9996944203590873,36.310183006336025,2.423978058214836,0.7098625985892244,34,Primary_Train,35.71
