dice,iou,precision,recall,specificity,hd95_mm,asd_mm,cldice,centerline_recall,case_id,cohort,elapsed_seconds
0.7559417401752484,0.6076417516666274,0.8604739083539968,0.6740560080135882,0.9998256611915324,7.693061587000438,1.2781919558598172,0.832178658155618,0.7376697641172266,3,Unseen_External,35.69
0.6533845990557156,0.4852050545371336,0.8026750788643533,0.5509186018314299,0.99965362856892,13.726245819416855,2.522114189379722,0.7171220246892728,0.591337099811676,4,Unseen_External,78.47
0.762900912272649,0.6166853729349672,0.7869300695989773,0.7402957486136784,0.9996661031419098,8.744294154093927,1.361400223854073,0.8526681423856944,0.7438297872340426,5,Unseen_External,57.63
0.6305179404789228,0.4604061339068741,0.7692630792924815,0.5341737693230061,0.9998627198360368,16.487790138691373,2.6732184488868556,0.7487889915923472,0.6236453201970443,6,Unseen_External,88.76
0.6661654075515083,0.49943629541699225,0.7567904693897842,0.5949237568746714,0.9995004356590204,14.450474154707388,2.341324076596491,0.7534669431804821,0.6416100872938895,7,Unseen_External,56.75
0.7329143272686062,0.5784252344111027,0.706984667802385,0.7608184153251897,0.9995532008166185,21.07344074386421,2.883203898700391,0.7894196540294284,0.7837078651685393,10,Unseen_External,89.16
0.5402808399813839,0.3701265659721104,0.7086447157479344,0.4365603324495362,0.9996252522500766,35.8803946957996,5.0920895991414765,0.6147135982489177,0.5121212121212121,13,Unseen_External,86.96
0.6336367981922475,0.46373965381526744,0.6923013009210901,0.5841378895921802,0.9996399070801077,16.201384636744898,2.4847307550061086,0.7768381838662416,0.7490664675130695,16,Unseen_External,102.15
0.5784404981353385,0.4069055831828336,0.6213891720910778,0.5410449884484505,0.9995977041274826,57.796258407979266,8.924710132416926,0.6881240140216329,0.6168549087749783,21,Unseen_External,93.55
0.622121091402605,0.45150636062488975,0.7954588621255287,0.5108107508759481,0.9998354708785677,11.709746603783923,2.3669789618385897,0.7227828566057088,0.6451335055986219,23,Unseen_External,126.14
0.6990949959292516,0.5373912727998331,0.6860619955767071,0.7126327564017753,0.9996234782215857,43.80612129606439,5.807908030929153,0.7730160150308669,0.7883211678832117,26,Unseen_External,89.3
0.7089363638904305,0.5491103180837049,0.8259437736059687,0.6209670086797178,0.9997399460986515,6.862280078410038,1.4013120344097476,0.7570281559071136,0.6680161943319838,27,Unseen_External,74.95
0.7049306129143748,0.5443187986249322,0.8177913693510024,0.6194432433545412,0.9998137860703369,10.377094103420765,1.705505680178906,0.7290728561682027,0.5911290322580646,28,Unseen_External,85.2
0.7242422470213569,0.5676957442197736,0.7731539814972473,0.6811508690521432,0.9997224043704309,15.517457914020655,2.4818701021160363,0.7656057806484592,0.6810344827586207,31,Unseen_External,89.05
0.8057368710104348,0.67467281828599,0.8128059579492303,0.7987896855503093,0.9997136468763189,2.193363027316325,0.5792020302898742,0.8912012041490789,0.8342318059299192,32,Unseen_External,90.04
0.6569251852561513,0.489120321552184,0.6889486881536298,0.627746465418418,0.999505280307994,56.60136966409891,6.337517477681452,0.6727643927829937,0.6194244604316547,33,Unseen_External,75.09
0.6077818129443112,0.43655643820432294,0.7700338894681961,0.5020054043948947,0.9995089224802279,18.486628116837505,3.1727980844297354,0.62663664655795,0.5041379310344828,35,Unseen_External,90.34
0.7360878667022188,0.5823884804251613,0.8640074582140241,0.641161471407958,0.9998581577386518,11.162637370560258,2.375114405810253,0.7932695326727203,0.6889264581572274,38,Unseen_External,105.05
0.7006117319563927,0.5391858224264653,0.7775226352772434,0.6375469308363867,0.9994005923811191,13.391681535921247,1.8323860928205258,0.8094064377835397,0.7351672060409924,44,Unseen_External,41.37
0.5680809905352381,0.39672704027274663,0.7825158660110116,0.4458920283364547,0.9995675016894648,19.593633807474248,3.2790703975998357,0.7448882735319486,0.6714770797962648,48,Unseen_External,23.55
0.6784874184036213,0.5134172976121142,0.7738639979809285,0.6040410442647663,0.9997136697994777,7.292839473156442,1.235929988557579,0.8188131784402406,0.7044887780548629,54,Unseen_External,99.88
0.752587799552715,0.6033192550809263,0.7762187394582569,0.7303531753180466,0.9995830348367302,5.432667305657055,0.9113509486688396,0.8369498484030129,0.7805872756933115,62,Unseen_External,56.86
0.5745885611862473,0.40310365522562946,0.7352481234361968,0.47154987964696443,0.9996469976941909,14.795588607991208,3.4784259918092544,0.5944004227694806,0.4810554803788904,64,Unseen_External,87.3
0.5722017563769052,0.4007581315725116,0.8331808013016067,0.4357201733627589,0.9998632475507064,15.495848428696942,2.940915024825609,0.7122955324949434,0.5978994748687172,66,Unseen_External,104.88
0.7419441706964912,0.5897545668599223,0.8087752170382861,0.6853149443779968,0.9994697883985192,15.568965457109178,1.9856700252050108,0.793625169986216,0.6827956989247311,73,Unseen_External,55.5
0.6863886549750424,0.5225203463525214,0.8159883931809938,0.5923140922351058,0.9997883910315504,9.560715851737058,1.7703583191726986,0.7232012035070948,0.6091846298031866,74,Unseen_External,65.55
0.6448295835421372,0.4758291471766254,0.8565006915629322,0.5170488347092774,0.9998847122738522,12.464098834878717,2.9389063855758017,0.7096610055088552,0.5845272206303725,75,Unseen_External,104.98
0.7636960740409017,0.6177251871528616,0.9145513049696103,0.655561250640697,0.9999502298105526,4.801831061003419,0.8497038114663169,0.8541399167883614,0.7673758865248227,82,Unseen_External,107.14
0.4864255504415972,0.3213753711180284,0.6916732997258336,0.375113914336419,0.9998063361318145,18.0622131797999,3.589855516462597,0.6116515551812032,0.5399159663865546,83,Unseen_External,146.98
0.42266418415707513,0.267960810825312,0.8955314875914503,0.27660729318977356,0.9999551303825134,12.800793047873537,4.252866850038387,0.5161059884010565,0.37185929648241206,86,Unseen_External,93.81
0.6835274889592099,0.5192113646329158,0.7371756887512095,0.6371581015111929,0.9995128959612639,25.579617049370277,3.8332906797995436,0.6884765639449175,0.5994923857868021,90,Unseen_External,75.56
0.7457362096423917,0.5945609012835904,0.8246256026493701,0.6806230934187079,0.999733591501744,10.88535140421722,1.5187985262085615,0.7842561834865605,0.6909747292418773,91,Unseen_External,94.64
0.7326131051353257,0.5780500872336626,0.7784365778982323,0.6918846036848553,0.9995554382661732,19.333115757384654,2.227671463382059,0.8362561225958587,0.7626714370900417,93,Unseen_External,57.71
0.6585992589936656,0.4909787499443133,0.6503676427197299,0.6670419193569863,0.9994970440386467,8.312770064706568,1.6559105574224515,0.7332237407635485,0.7428040854224698,97,Unseen_External,57.25
0.707287417188441,0.5471343178621659,0.7383042323021446,0.6787716198826583,0.9993856206721072,8.71784339484435,1.397729319301365,0.7519765960087149,0.6415376934598103,100,Unseen_External,48.52
0.6666877497022021,0.5000237187900255,0.7247350025783533,0.6172494900498726,0.9995543347830208,7.800155046269082,1.6987852663199219,0.727323273995477,0.6205722070844687,101,Unseen_External,48.37
0.8166395080707148,0.6901020556629461,0.826689407898013,0.806831022709323,0.9998066723763657,3.659967210452819,0.7835450907499609,0.897495721194887,0.8587075575027382,104,Unseen_External,89.55
0.7040609448915648,0.5432824499857779,0.8430344827586207,0.6044224100420617,0.9996830082505878,7.5,1.2877200310072154,0.7890767146600689,0.6646641179683234,106,Unseen_External,48.35
0.6444135746545604,0.47537623762376235,0.8670675768411168,0.5127457576437169,0.9998977581534053,12.472888231136203,2.210247996611689,0.759513132607303,0.6260296540362438,108,Unseen_External,102.54
0.6503268654953697,0.48184026848401246,0.8805711813067936,0.5155303447516246,0.9998234411126882,12.900443703760978,2.6868110873595876,0.6687306030258804,0.5088495575221239,117,Unseen_External,127.23
0.7462620126214355,0.5952296413876648,0.9021525799303577,0.6363088327230508,0.9998711282108782,7.520760417444956,1.3019846719749752,0.7619940998137499,0.6344086021505376,129,Unseen_External,105.2
0.624962863372459,0.4545061705789724,0.6893119765401107,0.5716022659236402,0.9995673025061198,19.859104526238895,3.3408051749226697,0.7421452495711135,0.7744360902255639,131,Unseen_External,111.23
0.5677580936245442,0.3964121501383503,0.7643850288593134,0.45159249103564647,0.9997796771241423,13.783777062864525,2.685341897847677,0.5889243876464324,0.47920277296360486,134,Unseen_External,49.07
0.5730242672861168,0.4015655306178997,0.830218403150734,0.4374929247952907,0.9999012221855499,21.77818880027919,4.641590356064158,0.6094450253958769,0.4657039711191336,137,Unseen_External,105.15
0.7393467709379723,0.5864790997981844,0.752695263218259,0.7264634798811874,0.9996405311087226,13.675739459064014,3.152094902237616,0.7718913554510779,0.7025171624713958,141,Unseen_External,90.0
0.7899599960971803,0.6528379173822944,0.8341283496285917,0.7502339761112707,0.9997763319871251,5.887971882628602,1.0922151193990388,0.8887297846696289,0.8230421686746988,142,Unseen_External,126.78
0.641294781298916,0.47198963577396946,0.6996803464631883,0.5919028251790952,0.9996763794005127,11.34735112834202,1.950445134103323,0.7705903288138932,0.7260726072607261,144,Unseen_External,107.23
0.6780089821630203,0.5128695830871587,0.6651175961090012,0.6914099700448462,0.999720887345843,20.372571273868154,3.294834023379391,0.717157234695255,0.6811224489795918,146,Unseen_External,107.46
0.6761069928070214,0.5106960978973341,0.6677202815432742,0.6847070617063934,0.9995381281124,8.494453918737364,1.619826254360409,0.7692777823861543,0.752670501232539,155,Unseen_External,65.65
0.7212940289609436,0.5640812237506261,0.7915265417347016,0.6625092771934906,0.9996422605570062,15.663755063944048,2.520886220281575,0.7328530313575741,0.6336065573770492,156,Unseen_External,47.95
0.5685996254608839,0.3972331121150938,0.6504863005574665,0.5050244604316547,0.9996725957246757,24.509905373162965,4.722710791507414,0.6588159794641425,0.6214285714285714,158,Unseen_External,102.2
