case_id,model,dice,iou,precision,recall,hd95,resize_applied,gpu_used,source
1.0,V-Net,0.0049727387358584,0.0024925668096923,0.0069248652124449,0.0038791909116098,338.62811460361644,False,False,
10.0,V-Net,0.0107680405562642,0.0054131648675478,0.0150209696948426,0.0083919923138761,265.7385933582098,False,False,
100.0,V-Net,0.0011225374335051,0.0005615839162366,0.0039466760217505,0.000654321795459,268.5330519693991,False,False,
1000.0,V-Net,0.0099017421265952,0.0049755041427834,0.0173142401777305,0.0069334313232506,301.46475747589466,False,False,
101.0,V-Net,0.0213099689460658,0.0107697358411995,0.0565815489461949,0.0131269458623281,290.7232360854564,False,False,
102.0,V-Net,0.0034929437569835,0.0017495273788595,0.0059582639143817,0.0024706681342357,317.47283348343365,False,False,
103.0,V-Net,0.0190939101872879,0.009638977983602,0.0510443922125149,0.0117433401691612,248.87948890979345,False,False,
104.0,V-Net,0.002368699800662,0.0011857542482567,0.0037769975529311,0.0017253739322729,295.5960080921256,False,False,
105.0,V-Net,0.0051366488452072,0.00257493769798,0.0107150434967112,0.0033780111541259,211.8726032312814,False,False,
106.0,V-Net,0.0089545953254347,0.0044974340135143,0.028071150639244,0.0053269339803008,283.89434654462565,False,False,
107.0,V-Net,0.0056469713648511,0.0028314803265877,0.0134093763791288,0.0035765702954518,312.92331328937445,False,False,
108.0,V-Net,0.0063319459336237,0.0031760281861912,0.0151160915833602,0.004004741614071,363.29739883461866,False,False,
109.0,V-Net,0.0101582883979813,0.0051050736039717,0.0234717254129657,0.0064817589540394,322.25145461269835,False,False,
11.0,V-Net,0.0226061714649253,0.0114323060680698,0.0374111608317978,0.0161965811965811,309.2911249939125,False,False,
110.0,V-Net,0.0204631492786725,0.0103373419248123,0.0572737686139748,0.0124569198189594,320.1640204645113,False,False,
111.0,V-Net,0.0123300715833706,0.0062032792301651,0.0760737439222042,0.0067087114986064,244.3460660620506,False,False,
112.0,V-Net,0.0081790362838965,0.0041063109751777,0.0275011853959222,0.0048038695997879,249.77589955798376,False,False,
113.0,V-Net,0.011006553520416,0.0055337304101715,0.046979865771812,0.0062334731389649,340.6552509502826,False,False,
114.0,V-Net,0.0029900953092877,0.0014972861688189,0.003960105602816,0.0024017879977316,365.589934215919,False,False,
115.0,V-Net,0.009747864425461,0.0048978037763275,0.013484752223634,0.0076326956271576,239.0,False,False,
116.0,V-Net,0.0036364148895683,0.0018215193448177,0.0146159075458871,0.0020765256024338,241.2094525510972,False,False,
117.0,V-Net,0.003988773764441,0.0019983724099407,0.0156580138846966,0.0022854939971362,284.43804246267763,False,False,
118.0,V-Net,0.0071891886758403,0.003607562060075,0.0126539959547331,0.0050208594490983,282.56149773102493,False,False,
119.0,V-Net,0.0131354486523362,0.0066111445007293,0.0377821393523061,0.0079496180053685,321.82914721945247,False,False,
12.0,V-Net,0.0021574091477414,0.0010798694339683,0.0061925314317883,0.0013062452376475,230.54283766797008,False,False,
120.0,V-Net,0.0151155703502259,0.0076153402809921,0.028693485226059,0.0102603271593151,339.6262651798297,False,False,
121.0,V-Net,0.0056053606967439,0.002810557442484,0.0096998420221169,0.0039415571076417,332.1129325997408,False,False,
122.0,V-Net,0.014053385814463,0.0070764167143669,0.0234543600445846,0.0100322574100748,279.6730233683614,False,False,
123.0,V-Net,0.007567858243653,0.0037983016259624,0.009562479284057,0.0062617339685502,331.2174512310606,False,False,
124.0,V-Net,0.0007910254566373,0.0003956692205316,0.003530733429626,0.0004454072439414,295.8462438497403,False,False,
125.0,V-Net,0.0067361260649425,0.0033794452169768,0.0199555090290499,0.004051944601282,286.6408903139955,False,False,
126.0,V-Net,0.0101595082323636,0.0051056897647804,0.0181570906264902,0.0070529312888065,298.6452745315084,False,False,
127.0,V-Net,0.0071146756354691,0.0035700376476693,0.0156851561385997,0.004600777949726,310.30791159749697,False,False,
128.0,V-Net,0.0170913986729966,0.0086193577765302,0.0351039872830838,0.0112954615687904,326.8424697006189,False,False,
129.0,V-Net,0.0099517586287557,0.005000762505083,0.0330686163284171,0.0058572236610996,238.6880809759884,False,False,
13.0,V-Net,0.0010771509357748,0.0005388656877273,0.0027703447190303,0.0006685456852213,345.950863563021,False,False,
130.0,V-Net,0.0212932228437887,0.0107611815401932,0.0475384349628605,0.0137191170312468,311.3679495388053,False,False,
131.0,V-Net,0.0052641936436087,0.0026390430385988,0.0239713240235979,0.00295675401833,304.149634226313,False,False,
132.0,V-Net,0.0080717337341049,0.0040522210918952,0.0366705024932873,0.0045349752853334,246.5299170486211,False,False,
133.0,V-Net,0.0056616373833539,0.0028388549754043,0.0158788039514685,0.0034449774530181,260.0038461253987,False,False,
134.0,V-Net,0.0020128087831654,0.0010074182617454,0.0045906017861614,0.0012889920082495,296.89392044971214,False,False,
