Model,Cases,DICE,IOU,PRECISION,RECALL,SPECIFICITY,HD95_MM,ASD_MM,CLDICE,CENTERLINE_RECALL,Avg_Time_s
RASNet (Ours),66,0.7376 ± 0.0762,0.5899 ± 0.0922,0.8553 ± 0.0602,0.6595 ± 0.1106,0.9998 ± 0.0001,15.1187 ± 13.3194,2.3966 ± 2.2556,0.8215 ± 0.0771,0.7595 ± 0.1139,16.33s
RASNET_THRESH05,66,0.7397 ± 0.0793,0.5929 ± 0.0955,0.8427 ± 0.0622,0.6701 ± 0.1133,0.9998 ± 0.0001,14.5136 ± 13.1419,2.3348 ± 2.3004,0.8248 ± 0.0777,0.7699 ± 0.1108,16.04s
SEGRESNET,66,0.7546 ± 0.0776,0.6117 ± 0.0935,0.8119 ± 0.0802,0.7136 ± 0.1033,0.9997 ± 0.0002,12.8972 ± 14.3613,2.2206 ± 3.1653,0.8305 ± 0.0911,0.8065 ± 0.1065,19.21s
VNET,66,0.7119 ± 0.0970,0.5610 ± 0.1110,0.8065 ± 0.0927,0.6501 ± 0.1295,0.9997 ± 0.0002,19.4053 ± 18.2232,3.5300 ± 4.5993,0.7876 ± 0.1035,0.7277 ± 0.1316,22.27s
NNUNET,66,0.4704 ± 0.1639,0.3225 ± 0.1400,0.7597 ± 0.0880,0.3720 ± 0.1830,0.9998 ± 0.0001,48.7010 ± 18.0491,12.6639 ± 7.6792,0.4844 ± 0.1874,0.3525 ± 0.1786,16.75s
3DUNET,66,0.5322 ± 0.0452,0.3639 ± 0.0414,0.6019 ± 0.0541,0.4833 ± 0.0646,0.9995 ± 0.0002,13.8013 ± 8.7362,2.4013 ± 1.2565,0.6717 ± 0.0625,0.6089 ± 0.0874,8.66s
