model,dice_mean,hd95_mean,balanced_score
SegResNet,0.800488899813758,9.9090597126219,0.701398302687539
V-Net,0.009213948728496974,291.8895608603197,-2.9096816598747
3D U-Net,0.0054213600026236115,,0.0054213600026236115
