epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,learning_rate,epoch_time
0,0.5499103145880831,0.45057021147674986,0.21389808365371465,0.45206330890456836,0.12867288315381759,0.2961713808692164,0.0001,874.8735818862915
1,0.3802620501153999,0.32337786985768213,0.567788038133747,0.650577894018756,0.401292219488985,0.4842002828915914,0.0001,837.4574999809265
1,0.25519592534336777,0.22280331883165572,0.6889309123986297,0.6908641288677851,0.527934604510665,0.5302184700965882,0.0001,860.6408562660217
2,0.18826745150403845,0.1879052577747239,0.7269720652037197,0.6999243083927367,0.5730308348519935,0.5414288878440857,0.0001,838.5401949882507
3,0.15763801004116734,0.16285379425519042,0.7439151024652852,0.7177564332882563,0.5942280523065063,0.5624149041043387,0.0001,856.3531076908112
4,0.14176378458117445,0.1525862529873848,0.7544171738127867,0.7264071838723288,0.6075680579162306,0.5731427667869462,0.0001,853.0355358123779
5,0.1329285499639809,0.1535485367394156,0.7608692694869307,0.7147088934977849,0.6159799328694741,0.559792789651288,0.0001,828.8062119483948
6,0.1257237780528764,0.14371759610043633,0.7686351949969927,0.7305744038687811,0.6260638192296029,0.578726022111045,0.0001,835.1615765094757
7,0.12072268221527338,0.1440488631112708,0.7746209157009919,0.7271919972366757,0.6338368645972676,0.5746466921435462,0.0001,847.8883829116821
8,0.11655550961279207,0.13793760107623207,0.7803181847764387,0.7369353731473287,0.6413975835260418,0.5867551255557272,0.0001,819.9877600669861
9,0.11307313296323021,0.13779288166099124,0.7856854682167371,0.7355283995469412,0.6486018577383624,0.5847556193669637,0.0001,813.8648962974548
9,0.10962195433676243,0.14043077321516143,0.791218184100257,0.7298823768893877,0.6559690409236484,0.5784384977486399,0.0001,768.7685990333557
10,0.10673169764793582,0.14066669237282542,0.7962606778575314,0.7286565896537569,0.6628556025524934,0.5768251834644211,0.0001,831.7157497406006
10,0.12506945968367333,0.11260908531645934,0.7595480884057145,0.783188165889846,0.6152501632134582,0.6450133652736744,0.0001,286.3251254558563
11,0.11285125126325807,0.11030193977057934,0.7840426669910897,0.7881522108283309,0.646549703553319,0.6516886204481125,0.0001,35.547640800476074
12,0.10906920582056046,0.10921290641029675,0.7913038913420466,0.7901546466681691,0.6562796526176985,0.6543728549861246,0.0001,43.724751710891724
13,0.10615012430867483,0.10853858726720016,0.7968296909401583,0.7914912137720319,0.6637647977575313,0.656161116850045,0.0001,41.627427101135254
14,0.10383486011347105,0.10826181868712108,0.8013976851348267,0.7920064036217002,0.670008871444436,0.6568844707475768,0.0001,39.95909404754639
15,0.10160093546606773,0.10789463234444459,0.8057279741001684,0.7925450207872523,0.675940421085025,0.657618362042639,0.0001,45.48112630844116
16,0.09935855813497721,0.10753271045784156,0.8100905148095863,0.7932035031004084,0.681978982808285,0.6585538112041023,0.0001,36.774699211120605
