Category,Case_ID,Dice,IoU,Precision,Recall,HD95
Best,Case_42,0.8947435021400452,0.8095346689224243,0.8642979264259338,0.9274123311042786,1.0
Median,Case_22,0.8116980195045471,0.6830738186836243,0.7714852690696716,0.856333315372467,17.745304107666016
Worst,Case_35,0.6983473896980286,0.5365082621574402,0.642530083656311,0.7647850513458252,25.571456909179688
