Model,N,Dice,IoU,Precision,Recall,HD95 (mm)
SegResNet,150,0.7787 +/- 0.0506,0.6402 +/- 0.0648,0.8071 +/- 0.0584,0.7567 +/- 0.0703,5.59 +/- 6.38
nnU-Net,150,0.6003 +/- 0.0780,0.4332 +/- 0.0789,0.5354 +/- 0.1044,0.7017 +/- 0.0820,58.30 +/- 14.44
3D U-Net,150,0.0011 +/- 0.0018,0.0005 +/- 0.0009,0.0020 +/- 0.0036,0.0008 +/- 0.0013,57.08 +/- 9.04
V-Net,N/A,-,-,-,-,- (Instability Limits)
