Metric,Metric_Label,N,Mean,SD,Bootstrap_95%_CI_Lower,Bootstrap_95%_CI_Upper,Mean (95% CI),Median [IQR]
dice,Dice Similarity Coefficient (DSC),150,0.7765310346449832,0.06946317666522504,0.7647962248192761,0.7867165891859669,"0.7765 [0.7648, 0.7867]",0.7965 [0.0789]
iou,Intersection-over-Union (IoU),150,0.639553937295464,0.08644205483649385,0.6250017056702163,0.6523046672330886,"0.6396 [0.6250, 0.6523]",0.6619 [0.1072]
precision,Precision (PPV),150,0.8800897255324507,0.053035586201164234,0.8714866238505926,0.8880628962521981,"0.8801 [0.8715, 0.8881]",0.8920 [0.0611]
recall,Recall / Sensitivity,150,0.7015530338387832,0.09758979553293096,0.685019201774475,0.7159343721958199,"0.7016 [0.6850, 0.7159]",0.7178 [0.1249]
hd95,"95% Hausdorff Distance (HD95, mm)",150,10.292350919178567,10.486139214472743,8.793794698276873,12.017491541903402,"10.2924 [8.7938, 12.0175]",6.3320 [10.1270]
asd,"Average Surface Distance (ASD, mm)",150,1.5981314487394118,1.823501674257486,1.3409872225261248,1.9184107159268298,"1.5981 [1.3410, 1.9184]",0.9768 [1.1727]
cldice,Centerline Dice (clDice),150,0.8592289071942889,0.07189650157309838,0.8477566819534235,0.8695527723737799,"0.8592 [0.8478, 0.8696]",0.8746 [0.0814]
centerline_recall,Centerline Recall / Tree Completeness (T_sens),150,0.8017963223592091,0.10224952435526728,0.7855780134992741,0.8166661202717319,"0.8018 [0.7856, 0.8167]",0.8124 [0.1387]
