Model,Dice,IoU,HD95,Precision,Recall,DataSource,Cases_Evaluated,Status
3D U-Net,0.0313,0.0159,266.1391,0.0294,0.0335,Validation Case 701,1,Estimate
SegResNet,0.800488899813758,0.6702441559897528,9.9090597126219,0.8267262511783176,0.7814439376195271,Test Set,45,Complete
