Step,Configuration,Attention Gates,Deep Supervision,Loss Function,TTA (4-Pass),cc3d Pruning,Dice,Dice_SD,IoU,IoU_SD,Precision,Recall,HD95 (mm),Params (M),Train Time (h),Inference Time (s)
1,SegResNet Baseline,No,No,Standard Dice+CE,No,No,0.7469496139493695,0.06397244007026436,0.6000938261518134,0.07884196448726438,0.7312688946096509,0.771262445170403,31.477499129851154,4.701,~1.5h (RTX 4080S),0.42s
2,+ AttentionGate3D Only,Yes (3-Level),No,Standard Dice+CE,No,No,0.7439700130269801,0.06499308081220342,0.5964305291039518,0.08018729192634125,0.7450281770728597,0.751244472639589,23.437117469653227,4.702,~1.3h (RTX 4080S),0.46s
3,+ Deep Supervision (aux2/aux3),Yes (3-Level),"Yes (aux2, aux3)",Standard Dice+CE,No,No,0.7535114389753326,0.06153316958536221,0.6082548659566718,0.0766106677396025,0.7699788075500357,0.7448301732928445,21.6087092847831,4.707,~1.4h (RTX 4080S),0.48s
4,+ StenosisAwareLoss (Raw Model),Yes (3-Level),"Yes (aux2, aux3)","StenosisAware (α=0.4, γ=2.5)",No,No,0.7680668601239639,0.0596201359963901,0.6270955293853321,0.0757187819272276,0.8126849991803595,0.7340149341846605,13.44764108508697,4.707,~1.5h (RTX 4080S),0.48s
5,+ 4-Pass TTA (Inference),Yes (3-Level),"Yes (aux2, aux3)","StenosisAware (α=0.4, γ=2.5)",Yes (3 Flips + Orig),No,0.7745212858157433,0.058015225480548,0.6355076612540614,0.07445423290463757,0.8260212972611226,0.7346840138567317,12.202962221573019,4.707,— (Inference Only),1.72s
6,+ cc3d Top-2 Pruning (= Champion RASNet),Yes (3-Level),"Yes (aux2, aux3)","StenosisAware (α=0.4, γ=2.5)",Yes (3 Flips + Orig),Yes (Top-2 Trees),0.7765310346449832,0.06946317666522504,0.639553937295464,0.08644205483649385,0.8800897255324507,0.7015530338387832,10.292350919178567,4.707,~1.7h (RTX 4080S),1.85s
