Original_ID,Dice,IoU,Precision,Recall,HD95,Model,Case_ID
851.0,0.0114392293617129,0.0057525169104337,0.0120035037398338,0.0109256245195865,,3D U-Net,851
852.0,0.0507490523159503,0.0260351561009883,0.0419602394104003,0.0641950815916061,,3D U-Net,852
853.0,0.0095229540020227,0.0047842571511864,0.0081400703638792,0.0114718610420823,,3D U-Net,853
854.0,0.0186629481613636,0.0094193704426288,0.0154637787491083,0.0235310960561037,,3D U-Net,854
855.0,0.0492042861878871,0.0252226740121841,0.0449018478393554,0.0544186048209667,,3D U-Net,855
856.0,0.0514064840972423,0.0263813268393278,0.0429059229791164,0.0641075298190116,,3D U-Net,856
857.0,0.0504652895033359,0.0258858129382133,0.0434479713439941,0.0601859837770462,,3D U-Net,857
858.0,0.0199891831725835,0.0100954920053482,0.0175552051514387,0.0232067294418811,,3D U-Net,858
859.0,0.0162993259727954,0.0082166260108351,0.016436394304037,0.0161645263433456,,3D U-Net,859
860.0,0.0369431637227535,0.0188192017376422,0.030713802203536,0.0463422872126102,,3D U-Net,860
861.0,0.017482366412878,0.0088182650506496,0.0147061869502067,0.0215506106615066,,3D U-Net,861
862.0,0.0151514215394854,0.0076335403136909,0.012973248027265,0.0182085949927568,,3D U-Net,862
863.0,0.021642854437232,0.0109398113563656,0.0168951004743576,0.0301018990576267,,3D U-Net,863
864.0,0.0364280343055725,0.0185519233345985,0.0347279086709022,0.038303192704916,,3D U-Net,864
865.0,0.0293538514524698,0.0148955471813678,0.0240687187761068,0.0376131385564804,,3D U-Net,865
866.0,0.0272007826715707,0.0137879122048616,0.0222735647112131,0.0349271409213542,,3D U-Net,866
867.0,0.0402384661138057,0.0205323286354541,0.0391823276877403,0.0413531176745891,,3D U-Net,867
868.0,0.0301520209759473,0.015306775458157,0.0209427289664745,0.0538176111876964,,3D U-Net,868
869.0,0.0381710492074489,0.0194568708539009,0.0394346751272678,0.0369858928024768,,3D U-Net,869
870.0,0.0125391846522688,0.006309148389846,0.0104771945625543,0.0156116811558604,,3D U-Net,870
871.0,0.0165203120559453,0.0083289546892046,0.015503978356719,0.0176792424172163,,3D U-Net,871
872.0,0.0351797193288803,0.0179048031568527,0.0287824142724275,0.0452335178852081,,3D U-Net,872
873.0,0.0275694597512483,0.0139774046838283,0.0287313032895326,0.0264979284256696,,3D U-Net,873
874.0,0.0451071858406066,0.0230739936232566,0.0391307659447193,0.0532382279634475,,3D U-Net,874
875.0,0.0381902791559696,0.0194668602198362,0.0370064303278923,0.0394523702561855,,3D U-Net,875
876.0,0.0394343324005603,0.0201137531548738,0.0316189676523208,0.0523816868662834,,3D U-Net,876
877.0,0.0113348988816142,0.0056997523643076,0.0090835494920611,0.0150699773803353,,3D U-Net,877
878.0,0.0167924892157316,0.0084673380479216,0.0164979808032512,0.0170977022498846,,3D U-Net,878
879.0,0.0439298190176487,0.0224582012742757,0.03726651892066,0.053494744002819,,3D U-Net,879
880.0,0.0264899153262376,0.0134227415546774,0.0208166111260652,0.0364141277968883,,3D U-Net,880
881.0,0.0249671209603548,0.0126413693651556,0.0221373997628688,0.028626287356019,,3D U-Net,881
882.0,0.0348167940974235,0.0177168175578117,0.0320123434066772,0.038159791380167,,3D U-Net,882
883.0,0.0027283488307148,0.0013660378754138,0.0023523063864558,0.0032474976032972,,3D U-Net,883
884.0,0.0072974762879312,0.0036621002946048,0.0076353722251951,0.0069882199168205,,3D U-Net,884
885.0,0.0129877235740423,0.0065363077446818,0.0102362362667918,0.0177621729671955,,3D U-Net,885
886.0,0.0551092326641082,0.0283353887498378,0.0472995862364769,0.0660078004002571,,3D U-Net,886
887.0,0.023879213258624,0.0120838833972811,0.0220405552536249,0.0260525587946176,,3D U-Net,887
888.0,0.0328540317714214,0.0167013686150312,0.0245700646191835,0.0495653189718723,,3D U-Net,888
889.0,0.0484387166798114,0.0248204953968524,0.0488485693931579,0.0480356849730014,,3D U-Net,889
890.0,0.0263788439333438,0.013365707360208,0.025662250816822,0.027136605232954,,3D U-Net,890
891.0,0.0145021947100758,0.0073040598072111,0.0109423724934458,0.0214950665831565,,3D U-Net,891
892.0,0.0323274433612823,0.016429278999567,0.0300806425511837,0.0349369719624519,,3D U-Net,892
893.0,0.0243935529142618,0.0123473741114139,0.0217508859932422,0.0277671813964843,,3D U-Net,893
894.0,0.0310180932283401,0.0157533660531044,0.0300013720989227,0.0321061462163925,,3D U-Net,894
895.0,0.0315626114606857,0.016034347936511,0.0284210219979286,0.0354850366711616,,3D U-Net,895
896.0,0.0181009899824857,0.0091331545263528,0.0143903130665421,0.0243902429938316,,3D U-Net,896
897.0,0.0665404796600341,0.034415241330862,0.0616788230836391,0.0722341239452362,,3D U-Net,897
898.0,0.0389851219952106,0.019880075007677,0.0376932434737682,0.04036870226264,,3D U-Net,898
899.0,0.0052581583149731,0.0026360093615949,0.0051292325370013,0.0053937318734824,,3D U-Net,899
900.0,0.0205416269600391,0.0103773977607488,0.0197858661413192,0.0213574171066284,,3D U-Net,900
901.0,0.0240122508257627,0.0121520245447754,0.0177796091884374,0.0369732119143009,,3D U-Net,901
902.0,0.0212825257331132,0.010755717754364,0.0199768282473087,0.0227708425372838,,3D U-Net,902
903.0,0.029027247801423,0.0147273708134889,0.0292483679950237,0.0288094449788332,,3D U-Net,903
904.0,0.0185986645519733,0.009386621415615,0.0183682795614004,0.0188349019736051,,3D U-Net,904
905.0,0.0380730330944061,0.0194059386849403,0.0333963744342327,0.0442727692425251,,3D U-Net,905
906.0,0.0343963578343391,0.0174991320818662,0.029963219538331,0.0403690710663795,,3D U-Net,906
907.0,0.0339989438652992,0.0172934513539075,0.0338520780205726,0.0341470912098884,,3D U-Net,907
908.0,0.0285863038152456,0.0145004084333777,0.0257413946092128,0.0321381799876689,,3D U-Net,908
909.0,0.0180051643401384,0.0090843643993139,0.0184705760329961,0.0175626296550035,,3D U-Net,909
910.0,0.0330839529633522,0.0168202146887779,0.027402663603425,0.0417371541261673,,3D U-Net,910
911.0,0.0154725695028901,0.0077966013923287,0.0117266923189163,0.0227347780019044,,3D U-Net,911
912.0,0.027745509520173,0.0140679161995649,0.0237209200859069,0.0334148071706295,,3D U-Net,912
913.0,0.0369392707943916,0.0188171807676553,0.0317354835569858,0.0441843383014202,,3D U-Net,913
914.0,0.0098945666104555,0.0049718809314072,0.0079452265053987,0.0131114181131124,,3D U-Net,914
915.0,0.0366224013268947,0.0186527539044618,0.0298752896487712,0.0473061390221118,,3D U-Net,915
916.0,0.023853650316596,0.0120707917958498,0.018550768494606,0.0334018245339393,,3D U-Net,916
917.0,0.0197994541376829,0.0099987117573618,0.0174313839524984,0.0229120850563049,,3D U-Net,917
918.0,0.0140542183071374,0.0070768389850854,0.0121924914419651,0.0165869556367397,,3D U-Net,918
919.0,0.015927355736494,0.0080276075750589,0.0152235459536314,0.0166993960738182,,3D U-Net,919
920.0,0.016374634578824,0.0082549033686518,0.0117844408378005,0.0268222540616989,,3D U-Net,920
921.0,0.0412680655717849,0.0210687648504972,0.0341557562351226,0.0521213822066783,,3D U-Net,921
922.0,0.0309838280081748,0.0157356895506382,0.0244655944406986,0.0422367230057716,,3D U-Net,922
923.0,0.0231215488165617,0.0116959894075989,0.0218751858919858,0.0245185177773237,,3D U-Net,923
924.0,0.0436235889792442,0.0222981572151184,0.0392370820045471,0.0491143204271793,,3D U-Net,924
925.0,0.0154593642801046,0.0077898954041302,0.0130823338404297,0.0188919957727193,,3D U-Net,925
926.0,0.0018295423360541,0.0009156087180599,0.001609442057088,0.0021193793509155,,3D U-Net,926
