case_id,dice,iou,precision,recall,hd95
851,0.8086097395543914,0.6787110541359908,0.9171212463551944,0.7230591748099279,4.9517107848970365
852,0.8037379930867622,0.6718745462465027,0.9515896845308116,0.6956521739129912,2.5240277524168993
853,0.8100295662656938,0.6807140272583909,0.92813445599248,0.7185892538832801,12.103331128245967
854,0.719136470883207,0.5614465979674514,0.8126432932325907,0.6449278325223203,11.435400854698468
855,0.7338983375836129,0.579651981644941,0.9615384615383408,0.5934108527131323,20.904345433827196
856,0.8010543459065085,0.6681323237392075,0.905497722836561,0.7182130584191597,2.54296875
857,0.7565268867867236,0.6083982667158535,0.9097160345561432,0.6474939166040072,8.020252768920825
858,0.7021209076003132,0.540975589877283,0.939839643179359,0.5603807634263895,19.760835442688126
859,0.8037929460790948,0.671951351101331,0.9480122656690718,0.6976593446164369,2.0830094149226137
860,0.7288777150547343,0.5734127421785542,0.92910243274787,0.5996509142355791,17.096880140858296
861,0.5525969402066598,0.3817851126316947,0.954100070786873,0.3889285443085445,33.82134810788281
862,0.7160094630020042,0.5576438784946605,0.9274930190732018,0.5830618407937561,12.177868283144214
863,0.7521644890594461,0.6027753517709264,0.9604477842717383,0.6181188552321958,3.9724973273583384
864,0.8248713949780364,0.7019413802480106,0.8787930370939874,0.7771843357485042,2.8096962845005455
865,0.74685075589097,0.5959790977825388,0.9139924116164473,0.6313887834212364,30.530502325704074
866,0.6801500338440991,0.5153237498842802,0.9461112605659385,0.5309068662502955,34.43047725007691
867,0.7007247511529925,0.5393197105654279,0.9433289846309747,0.5573787443655056,16.902856651181846
868,0.8139698565637437,0.6862977817793472,0.8839513982233247,0.7542561565274364,2.1489488027943455
869,0.6366705638627105,0.4669968585630955,0.9349164467896851,0.48268891045255885,5.430507729474337
870,0.7478436045851246,0.5972445673108929,0.8956131706818282,0.6419299057453126,7.501285696612284
871,0.8047363793161416,0.6732710386146611,0.9164885319774957,0.7172753168849026,5.1116001521757015
872,0.7927722981426372,0.6566882924595988,0.9321716534829508,0.6896415243694604,3.0674013114791587
873,0.853024973698787,0.7437171290901061,0.9673227378854538,0.7628835173354469,0.9673629182602567
874,0.7413274442768747,0.5889756163396854,0.8196303078679595,0.6766811391946198,11.882915038734133
875,0.7596917212231391,0.6125023385091928,0.9113611961664502,0.6513015800840732,10.756616223055754
